    ,corruption,fold,wasserstein_distance
    129,frosted_glass_blur_5,1,783.9407512587155
    130,gaussian_blur_1,1,783.9450463781096
    131,gaussian_blur_2,1,783.9589627306366
    132,gaussian_blur_3,1,783.9640029327468
    133,gaussian_blur_4,1,783.9685639910269
    134,gaussian_blur_5,1,783.9769301619481
    135,gaussian_noise_1,1,783.9559692423431
    136,gaussian_noise_2,1,783.9716472131154
    137,gaussian_noise_3,1,783.9877464967258
    138,gaussian_noise_4,1,783.9960514945709
    139,gaussian_noise_5,1,784.0043643131652
    140,impulse_noise_1,1,783.9728763043487
    141,impulse_noise_2,1,783.9962758946783
    142,impulse_noise_3,1,784.0103386026635
    143,impulse_noise_4,1,784.0417228099976
    144,impulse_noise_5,1,784.0601243658076
    145,jpeg_compression_1,1,783.9565646679313
    146,jpeg_compression_2,1,783.960184190901
    147,jpeg_compression_3,1,783.9608149207493
    148,jpeg_compression_4,1,783.9607305538444
    149,jpeg_compression_5,1,783.9606498726081
    150,motion_blur_1,1,783.9497466935803
    151,motion_blur_2,1,783.9476251128012
    152,motion_blur_3,1,783.9432836756506
    153,motion_blur_4,1,783.9397686964294
    154,motion_blur_5,1,783.93473927546
    155,pixelate_1,1,783.9549525204511
    156,pixelate_2,1,783.9612049261408
    157,pixelate_3,1,783.9599923479625
    158,pixelate_4,1,783.9692301608998
    159,pixelate_5,1,783.9707723179056
    160,saturate_1,1,784.0745635449679
    161,saturate_2,1,784.0859125971491
    162,saturate_3,1,783.7494162403381
    163,saturate_4,1,783.3919339614163
    164,saturate_5,1,783.0408444992306
    165,shot_noise_1,1,783.9393562744353
    166,shot_noise_2,1,783.9401652059431
    167,shot_noise_3,1,783.9361864573007
    168,shot_noise_4,1,783.9362863091083
    169,shot_noise_5,1,783.9338008221004
    170,snow_1,1,784.0758912980839
    171,snow_2,1,784.1360075232345
    172,snow_3,1,784.1283265904664
    173,snow_4,1,784.1365383882352
    174,snow_5,1,784.1362157566707
    175,spatter_1,1,783.9713420755469
    176,spatter_2,1,784.0031693105196
    177,spatter_3,1,784.0485699917486
    178,spatter_4,1,783.9389736117387
    179,spatter_5,1,783.9308165115966
    180,speckle_noise_1,1,783.9387216299801
    181,speckle_noise_2,1,783.9369534865319
    182,speckle_noise_3,1,783.9356457823978
    183,speckle_noise_4,1,783.9323843477124
    184,speckle_noise_5,1,783.9293762874348
    185,zoom_blur_1,1,783.9629800736078
    186,zoom_blur_2,1,783.9718950581356
    187,zoom_blur_3,1,783.9790193909039
    188,zoom_blur_4,1,783.9868372217239
    189,zoom_blur_5,1,783.9956938989142
    190,brightness_1,2,143322.78121662632
    191,brightness_2,2,143322.76579992258
    192,brightness_3,2,143322.74699306415
    193,brightness_4,2,143322.72596152368
    194,brightness_5,2,143322.68000711864
    195,contrast_1,2,143322.86730895532
    196,contrast_2,2,143322.92948637166
    197,contrast_3,2,143322.95095286888
    198,contrast_4,2,143322.97002771703
    199,contrast_5,2,143322.99247830268
    200,defocus_blur_1,2,143322.80127311434
    201,defocus_blur_2,2,143322.81423679637
    202,defocus_blur_3,2,143322.82490608885
    203,defocus_blur_4,2,143322.83210940586
    204,defocus_blur_5,2,143322.84917241993
    205,elastic_1,2,143322.81230848585
    206,elastic_2,2,143322.81611283214
    207,elastic_3,2,143322.82390415733
    208,elastic_4,2,143322.8262960643
    209,elastic_5,2,143322.8256969261
    210,fog_1,2,143322.85981471126
    211,fog_2,2,143322.91293349932
    212,fog_3,2,143322.937704248
    213,fog_4,2,143322.95022306222
    214,fog_5,2,143322.96195578645
    215,frost_1,2,143322.76797945707
    216,frost_2,2,143322.73947753065
    217,frost_3,2,143322.75229898302
    218,frost_4,2,143322.77898386974
    219,frost_5,2,143322.81367318673
    220,frosted_glass_blur_1,2,143322.80294588735
    221,frosted_glass_blur_2,2,143322.8060227248
    222,frosted_glass_blur_3,2,143322.81783986944
    223,frosted_glass_blur_4,2,143322.80887404585
    224,frosted_glass_blur_5,2,143322.82087487384
    225,gaussian_blur_1,2,143322.80104689894
    226,gaussian_blur_2,2,143322.82505219086
    227,gaussian_blur_3,2,143322.8344466739
    228,gaussian_blur_4,2,143322.84291536862
    229,gaussian_blur_5,2,143322.8583118309
    230,gaussian_noise_1,2,143322.7909366011
    231,gaussian_noise_2,2,143322.78856470992
    232,gaussian_noise_3,2,143322.78537632103
    233,gaussian_noise_4,2,143322.78367663999
    234,gaussian_noise_5,2,143322.78181873477
    235,impulse_noise_1,2,143322.78914362012
    236,impulse_noise_2,2,143322.7860762539
    237,impulse_noise_3,2,143322.7834032323
    238,impulse_noise_4,2,143322.77878883202
    239,impulse_noise_5,2,143322.77466440725
    240,jpeg_compression_1,2,143322.79299800016
    241,jpeg_compression_2,2,143322.79381979426
    242,jpeg_compression_3,2,143322.79420718626
    243,jpeg_compression_4,2,143322.79461868617
    244,jpeg_compression_5,2,143322.7951305741
    245,motion_blur_1,2,143322.8149481237
    246,motion_blur_2,2,143322.8280405723
    247,motion_blur_3,2,143322.83930112692
    248,motion_blur_4,2,143322.8391957323
    249,motion_blur_5,2,143322.8488363702
    250,pixelate_1,2,143322.79833606663
    251,pixelate_2,2,143322.80342660888
    252,pixelate_3,2,143322.8051093563
    253,pixelate_4,2,143322.81621100608
    254,pixelate_5,2,143322.81685324217
    255,saturate_1,2,143322.81517504598
    256,saturate_2,2,143322.81118449604
    257,saturate_3,2,143322.75790149614
    258,saturate_4,2,143322.71864371814
    259,saturate_5,2,143322.68468901838
    260,shot_noise_1,2,143322.79197286454
    261,shot_noise_2,2,143322.7910709648
    262,shot_noise_3,2,143322.7876851506
    263,shot_noise_4,2,143322.78592096246
    264,shot_noise_5,2,143322.78273168675
    265,snow_1,2,143322.77911181585
    266,snow_2,2,143322.75932297553
    267,snow_3,2,143322.7466908563
    268,snow_4,2,143322.7232616862
    269,snow_5,2,143322.69547305984
    270,spatter_1,2,143322.78806575027
    271,spatter_2,2,143322.7787151068
    272,spatter_3,2,143322.76362726808
    273,spatter_4,2,143322.778546582
    274,spatter_5,2,143322.77115614322
    275,speckle_noise_1,2,143322.7925850747
    276,speckle_noise_2,2,143322.79131137155
    277,speckle_noise_3,2,143322.7903246896
    278,speckle_noise_4,2,143322.78798497864
    279,speckle_noise_5,2,143322.78506457448
    280,zoom_blur_1,2,143322.82246354717
    281,zoom_blur_2,2,143322.82775442567
    282,zoom_blur_3,2,143322.83397139146
    283,zoom_blur_4,2,143322.8393379307
    284,zoom_blur_5,2,143322.8470339118
    285,brightness_1,3,74702.60329688217
    286,brightness_2,3,74702.49637793376
    287,brightness_3,3,74702.35309153568
    288,brightness_4,3,74702.16347736676
    289,brightness_5,3,74701.59921596329
    290,contrast_1,3,74702.79896534808
    291,contrast_2,3,74702.87110435437
    292,contrast_3,3,74702.8922504199
    293,contrast_4,3,74702.90987954212
    294,contrast_5,3,74702.93057356123
    295,defocus_blur_1,3,74702.6927087041
    296,defocus_blur_2,3,74702.70409573776
    297,defocus_blur_3,3,74702.71341671994
    298,defocus_blur_4,3,74702.71931516076
    299,defocus_blur_5,3,74702.734247612
    300,elastic_1,3,74702.70043173141
    301,elastic_2,3,74702.70343772823
    302,elastic_3,3,74702.7128771174
    303,elastic_4,3,74702.71235141029
    304,elastic_5,3,74702.71538590245
    305,fog_1,3,74702.82083191951
    306,fog_2,3,74702.89079663056
    307,fog_3,3,74702.91955052968
    308,fog_4,3,74702.93357833638
    309,fog_5,3,74702.94540786456
    310,frost_1,3,74702.32161478573
    311,frost_2,3,74701.8580158541
    312,frost_3,3,74701.8107676281
    313,frost_4,3,74702.07698195045
    314,frost_5,3,74702.31413387408
    315,frosted_glass_blur_1,3,74702.68505862558
    316,frosted_glass_blur_2,3,74702.69434134518
    317,frosted_glass_blur_3,3,74702.70654034955
    318,frosted_glass_blur_4,3,74702.69120094218
    319,frosted_glass_blur_5,3,74702.7032760711
    320,gaussian_blur_1,3,74702.69289687401
    321,gaussian_blur_2,3,74702.71381749466
    322,gaussian_blur_3,3,74702.7223481863
    323,gaussian_blur_4,3,74702.72998048132
    324,gaussian_blur_5,3,74702.74436758144
    325,gaussian_noise_1,3,74702.69479725018
    326,gaussian_noise_2,3,74702.70013454727
    327,gaussian_noise_3,3,74702.70472652695
    328,gaussian_noise_4,3,74702.706580949
    329,gaussian_noise_5,3,74702.7094854568
    330,impulse_noise_1,3,74702.68819537196
    331,impulse_noise_2,3,74702.69398794563
    332,impulse_noise_3,3,74702.69861131422
    333,impulse_noise_4,3,74702.70773371604
    334,impulse_noise_5,3,74702.71486232417
    335,jpeg_compression_1,3,74702.68449907753
    336,jpeg_compression_2,3,74702.68543410696
    337,jpeg_compression_3,3,74702.68660413209
    338,jpeg_compression_4,3,74702.6873705348
    339,jpeg_compression_5,3,74702.68767650737
    340,motion_blur_1,3,74702.69628837128
    341,motion_blur_2,3,74702.7022503519
    342,motion_blur_3,3,74702.70846201459
    343,motion_blur_4,3,74702.70738647172
    344,motion_blur_5,3,74702.71256478186
    345,pixelate_1,3,74702.68596006394
    346,pixelate_2,3,74702.69025338971
    347,pixelate_3,3,74702.69266502098
    348,pixelate_4,3,74702.69763136713
    349,pixelate_5,3,74702.70290219985
    350,saturate_1,3,74702.654668307
    351,saturate_2,3,74702.60717356809
    352,saturate_3,3,74702.66512488152
    353,saturate_4,3,74702.68110888886
    354,saturate_5,3,74702.66891778099
    355,shot_noise_1,3,74702.69773955108
    356,shot_noise_2,3,74702.70357948968
    357,shot_noise_3,3,74702.71404632463
    358,shot_noise_4,3,74702.71678122455
    359,shot_noise_5,3,74702.72241393646
    360,snow_1,3,74702.58356983236
    361,snow_2,3,74702.4071561752
    362,snow_3,3,74702.38604854078
    363,snow_4,3,74702.10147473826
    364,snow_5,3,74701.47123935416
    365,spatter_1,3,74702.67438205502
    366,spatter_2,3,74702.6598730216
    367,spatter_3,3,74702.6271095766
    368,spatter_4,3,74702.71423285527
    369,spatter_5,3,74702.72457339917
    370,speckle_noise_1,3,74702.70338030955
    371,speckle_noise_2,3,74702.71649824314
    372,speckle_noise_3,3,74702.72279782142
    373,speckle_noise_4,3,74702.73217445478
    374,speckle_noise_5,3,74702.73872695504
    375,zoom_blur_1,3,74702.71007516992
