,Fold,Corruption,Severity,LogLikelihood
206,3,elastic,3,-5530.775390625
207,3,elastic,4,-5534.43701171875
208,3,elastic,5,-5535.56201171875
209,3,fog,1,-5440.291015625
210,3,fog,2,-5797.7080078125
211,3,fog,3,-6016.37060546875
212,3,fog,4,-6235.21337890625
213,3,fog,5,-6251.32861328125
214,3,frost,1,-5511.20703125
215,3,frost,2,-5737.458984375
216,3,frost,3,-6021.23095703125
217,3,frost,4,-6060.94482421875
218,3,frost,5,-6301.34814453125
219,3,frosted_glass_blur,1,-5371.0537109375
220,3,frosted_glass_blur,2,-5377.96728515625
221,3,frosted_glass_blur,3,-5464.95849609375
222,3,frosted_glass_blur,4,-5418.3818359375
223,3,frosted_glass_blur,5,-5513.57861328125
224,3,gaussian_blur,1,-5377.5361328125
225,3,gaussian_blur,2,-5513.2177734375
226,3,gaussian_blur,3,-5569.86669921875
227,3,gaussian_blur,4,-5624.65380859375
228,3,gaussian_blur,5,-5736.49365234375
229,3,gaussian_noise,1,-5306.5224609375
230,3,gaussian_noise,2,-5279.0458984375
231,3,gaussian_noise,3,-5241.9169921875
232,3,gaussian_noise,4,-5218.818359375
233,3,gaussian_noise,5,-5199.29345703125
234,3,impulse_noise,1,-5282.357421875
235,3,impulse_noise,2,-5236.609375
236,3,impulse_noise,3,-5189.3115234375
237,3,impulse_noise,4,-5134.83056640625
238,3,impulse_noise,5,-5063.677734375
239,3,jpeg_compression,1,-5331.55029296875
240,3,jpeg_compression,2,-5336.0263671875
241,3,jpeg_compression,3,-5340.3369140625
242,3,jpeg_compression,4,-5343.86376953125
243,3,jpeg_compression,5,-5346.1982421875
244,3,motion_blur,1,-5466.73583984375
245,3,motion_blur,2,-5559.16845703125
246,3,motion_blur,3,-5650.43994140625
247,3,motion_blur,4,-5647.79736328125
248,3,motion_blur,5,-5744.7158203125
249,3,pixelate,1,-5343.72216796875
250,3,pixelate,2,-5375.79833984375
251,3,pixelate,3,-5376.29296875
252,3,pixelate,4,-5429.08447265625
253,3,pixelate,5,-5469.7333984375
254,3,saturate,1,-5559.9326171875
255,3,saturate,2,-5607.15673828125
256,3,saturate,3,-5173.0009765625
257,3,saturate,4,-4868.02099609375
258,3,saturate,5,-4590.3623046875
259,3,shot_noise,1,-5321.96435546875
260,3,shot_noise,2,-5311.05126953125
261,3,shot_noise,3,-5280.25048828125
262,3,shot_noise,4,-5260.8076171875
263,3,shot_noise,5,-5235.55859375
264,3,snow,1,-5342.1494140625
265,3,snow,2,-5369.59375
266,3,snow,3,-5320.8681640625
267,3,snow,4,-5363.57763671875
268,3,snow,5,-5525.35498046875
269,3,spatter,1,-5318.82861328125
270,3,spatter,2,-5280.990234375
271,3,spatter,3,-5211.29541015625
272,3,spatter,4,-5182.45263671875
273,3,spatter,5,-5097.8857421875
274,3,speckle_noise,1,-5322.57763671875
275,3,speckle_noise,2,-5306.5478515625
276,3,speckle_noise,3,-5296.416015625
277,3,speckle_noise,4,-5262.57373046875
278,3,speckle_noise,5,-5226.50732421875
279,3,zoom_blur,1,-5490.27294921875
280,3,zoom_blur,2,-5491.89111328125
281,3,zoom_blur,3,-5518.12060546875
282,3,zoom_blur,4,-5532.419921875
283,4,brightness,1,-4093.589599609375
284,4,brightness,2,-4100.54150390625
285,4,brightness,3,-4108.75537109375
286,4,brightness,4,-4116.6103515625
287,4,brightness,5,-4127.53564453125
