,Fold,Corruption,Severity,LogLikelihood
395,5,elastic,1,-65811.8
396,5,elastic,2,-66248.48
397,5,elastic,3,-67702.61
398,5,elastic,4,-67714.98
399,5,elastic,5,-67877.766
400,5,fog,1,-67881.3
401,5,fog,2,-66619.03
402,5,fog,3,-65874.43
403,5,fog,4,-61071.09
404,5,fog,5,-59823.45
405,5,frost,1,-65344.75
406,5,frost,2,-62675.98
407,5,frost,3,-61609.375
408,5,frost,4,-62585.594
409,5,frost,5,-62550.094
410,5,frosted_glass_blur,1,-68544.16
411,5,frosted_glass_blur,2,-68806.11
412,5,frosted_glass_blur,3,-69764.35
413,5,frosted_glass_blur,4,-68294.07
414,5,frosted_glass_blur,5,-69564.086
415,5,gaussian_blur,1,-68537.11
416,5,gaussian_blur,2,-69521.37
417,5,gaussian_blur,3,-69809.1
418,5,gaussian_blur,4,-70023.7
419,5,gaussian_blur,5,-70305.8
420,5,gaussian_noise,1,-67228.375
421,5,gaussian_noise,2,-66129.14
422,5,gaussian_noise,3,-64823.83
423,5,gaussian_noise,4,-63855.2
424,5,gaussian_noise,5,-63103.13
425,5,impulse_noise,1,-66374.35
426,5,impulse_noise,2,-64818.63
427,5,impulse_noise,3,-63453.637
428,5,impulse_noise,4,-60287.04
429,5,impulse_noise,5,-58038.977
430,5,jpeg_compression,1,-68028.19
431,5,jpeg_compression,2,-67996.58
432,5,jpeg_compression,3,-67894.016
433,5,jpeg_compression,4,-67938.78
434,5,jpeg_compression,5,-67906.37
435,5,motion_blur,1,-69106.96
436,5,motion_blur,2,-69486.6
437,5,motion_blur,3,-69497.805
438,5,motion_blur,4,-69270.555
439,5,motion_blur,5,-68865.45
440,5,pixelate,1,-68032.2
441,5,pixelate,2,-68689.14
442,5,pixelate,3,-68021.58
443,5,pixelate,4,-68726.6
444,5,pixelate,5,-70199.7
445,5,saturate,1,-59599.71
446,5,saturate,2,-55791.367
447,5,saturate,3,-70575.06
448,5,saturate,4,-72845.25
449,5,saturate,5,-73310.04
450,5,shot_noise,1,-67464.16
451,5,shot_noise,2,-66845.2
452,5,shot_noise,3,-65427.55
453,5,shot_noise,4,-64683.74
454,5,shot_noise,5,-63043.63
455,5,snow,1,-66367.664
456,5,snow,2,-64169.35
457,5,snow,3,-64853.44
458,5,snow,4,-61056.91
459,5,snow,5,-59547.7
460,5,spatter,1,-68498.305
461,5,spatter,2,-67954.74
462,5,spatter,3,-66217.58
463,5,spatter,4,-61984.77
464,5,spatter,5,-59500.633
465,5,speckle_noise,1,-67276.375
466,5,speckle_noise,2,-66366.695
467,5,speckle_noise,3,-65510.867
468,5,speckle_noise,4,-63894.348
469,5,speckle_noise,5,-62355.66
470,5,zoom_blur,1,-70928.62
471,5,zoom_blur,2,-71043.16
472,5,zoom_blur,3,-71206.31
473,5,zoom_blur,4,-71005.33
474,5,zoom_blur,5,-70721.0
475,6,brightness,1,-88882.9
476,6,brightness,2,-88353.02
477,6,brightness,3,-87687.68
478,6,brightness,4,-86882.38
479,6,brightness,5,-84716.734
480,6,contrast,1,-79189.46
481,6,contrast,2,-62243.82
482,6,contrast,3,-52759.25
483,6,contrast,4,-41840.39
484,6,contrast,5,-24570.908
485,6,defocus_blur,1,-89912.71
486,6,defocus_blur,2,-91010.77
487,6,defocus_blur,3,-91844.57
488,6,defocus_blur,4,-92384.71
489,6,defocus_blur,5,-93429.37
490,6,elastic,1,-88610.61
491,6,elastic,2,-89295.9
492,6,elastic,3,-90553.72
493,6,elastic,4,-90959.28
494,6,elastic,5,-91099.695
495,6,fog,1,-89422.4
496,6,fog,2,-90352.945
497,6,fog,3,-93662.88
498,6,fog,4,-91589.625
499,6,fog,5,-95305.164
500,6,frost,1,-85634.79
501,6,frost,2,-82282.67
502,6,frost,3,-81101.22
503,6,frost,4,-82253.54
504,6,frost,5,-82153.65
505,6,frosted_glass_blur,1,-89335.484
506,6,frosted_glass_blur,2,-89776.63
507,6,frosted_glass_blur,3,-91522.28
508,6,frosted_glass_blur,4,-89493.79
509,6,frosted_glass_blur,5,-91260.03
510,6,gaussian_blur,1,-89896.28
511,6,gaussian_blur,2,-91835.17
512,6,gaussian_blur,3,-92474.45
513,6,gaussian_blur,4,-92990.03
514,6,gaussian_blur,5,-93802.04
515,6,gaussian_noise,1,-87751.1
516,6,gaussian_noise,2,-86109.96
517,6,gaussian_noise,3,-84307.805
518,6,gaussian_noise,4,-83106.86
519,6,gaussian_noise,5,-81903.055
520,6,impulse_noise,1,-86540.72
521,6,impulse_noise,2,-84306.92
522,6,impulse_noise,3,-82119.3
523,6,impulse_noise,4,-77861.54
524,6,impulse_noise,5,-74552.125
525,6,jpeg_compression,1,-89125.73
526,6,jpeg_compression,2,-89180.92
527,6,jpeg_compression,3,-89135.805
528,6,jpeg_compression,4,-89284.766
529,6,jpeg_compression,5,-89459.74
530,6,motion_blur,1,-90693.58
531,6,motion_blur,2,-91190.92
532,6,motion_blur,3,-91304.83
533,6,motion_blur,4,-90892.62
534,6,motion_blur,5,-90792.88
535,6,pixelate,1,-88960.28
536,6,pixelate,2,-89755.31
537,6,pixelate,3,-89658.234
538,6,pixelate,4,-90189.17
539,6,pixelate,5,-91119.2
540,6,saturate,1,-79160.7
541,6,saturate,2,-75396.95
542,6,saturate,3,-92457.96
543,6,saturate,4,-93379.91
544,6,saturate,5,-92643.78
545,6,shot_noise,1,-88165.19
546,6,shot_noise,2,-87255.234
547,6,shot_noise,3,-85008.66
548,6,shot_noise,4,-83858.55
549,6,shot_noise,5,-81757.15
550,6,snow,1,-86652.57
551,6,snow,2,-83615.664
552,6,snow,3,-85176.945
553,6,snow,4,-78512.586
554,6,snow,5,-79500.91
555,6,spatter,1,-89713.734
556,6,spatter,2,-88897.016
557,6,spatter,3,-87109.836
558,6,spatter,4,-81300.95
559,6,spatter,5,-78199.91
560,6,speckle_noise,1,-87979.59
561,6,speckle_noise,2,-86466.19
562,6,speckle_noise,3,-85226.305
563,6,speckle_noise,4,-82908.21
564,6,speckle_noise,5,-80287.09
565,6,zoom_blur,1,-93551.51
566,6,zoom_blur,2,-94041.03
567,6,zoom_blur,3,-94577.43
568,6,zoom_blur,4,-94720.586
569,6,zoom_blur,5,-94785.6
570,7,brightness,1,-103676.22
571,7,brightness,2,-102454.58
572,7,brightness,3,-101033.32
573,7,brightness,4,-99487.02
574,7,brightness,5,-96202.25
575,7,contrast,1,-91877.88
576,7,contrast,2,-71735.2
577,7,contrast,3,-60819.44
578,7,contrast,4,-48500.133
579,7,contrast,5,-29504.39
580,7,defocus_blur,1,-105432.41
581,7,defocus_blur,2,-106637.18
582,7,defocus_blur,3,-107513.01
583,7,defocus_blur,4,-108075.73
584,7,defocus_blur,5,-109032.92
585,7,elastic,1,-101502.19
586,7,elastic,2,-102727.625
587,7,elastic,3,-104810.87
588,7,elastic,4,-105187.19
589,7,elastic,5,-105218.58
590,7,fog,1,-105157.33
591,7,fog,2,-106360.13
592,7,fog,3,-110952.4
593,7,fog,4,-109667.945
594,7,fog,5,-116532.97
595,7,frost,1,-100513.2
596,7,frost,2,-96508.99
597,7,frost,3,-96090.14
598,7,frost,4,-97635.02
599,7,frost,5,-98408.375
600,7,frosted_glass_blur,1,-104874.64
601,7,frosted_glass_blur,2,-105332.64
602,7,frosted_glass_blur,3,-107227.03
603,7,frosted_glass_blur,4,-104835.734
604,7,frosted_glass_blur,5,-106981.26
605,7,gaussian_blur,1,-105456.484
606,7,gaussian_blur,2,-107687.45
